num_of_people_rated,rating,discount,new_price,old_price,item name
4 out of 5(8),4 out of 5,,"₦ 18,000",,SPORT Ankle Men Football Boot Black
4.3 out of 5(3),4.3 out of 5,,"₦ 18,000",,Clarks Brown Comfortable Loafers Shoe
4.4 out of 5(5),4.4 out of 5,,"₦ 24,750",,Formal Shoes For Men Suede Leather Shoes Business Wedding Footwear Brown
3.7 out of 5(10),3.7 out of 5,64%,"₦ 10,299 - ₦ 28,500","₦ 28,500",Varrati New Men's Slip-On SUEDE & Leather Patent Shoes Size 41-46
3.5 out of 5(12),3.5 out of 5,50%,"₦ 15,000","₦ 30,000",Casual Shoes Half Slippers  Leather Slippers Classic Mule Slide Outdoor
4.9 out of 5(7),4.9 out of 5,10%,"₦ 18,072","₦ 20,079",Defacto Man Casual Sport Shoes - White
4 out of 5(14),4 out of 5,,"₦ 10,000 - ₦ 15,000",,Bts Back To School Cortina Children Shoes Black
4.6 out of 5(34),4.6 out of 5,,"₦ 30,500",,32 PAIRS  Wooden Shoe Rack 8 Layers
3.8 out of 5(5),3.8 out of 5,43%,"₦ 16,300","₦ 28,700",Butfolo Men's Soccer BOOTS GREY
4.4 out of 5(5),4.4 out of 5,24%,"₦ 5,760","₦ 7,593",Defacto Girl - Sandals - Yellow
4.4 out of 5(36),4.4 out of 5,45%,"₦ 15,800","₦ 28,632",Business Men's PU Leather Shoes Office Formal  Shoes - Black
4 out of 5(12),4 out of 5,4%,"₦ 12,000","₦ 12,500",Classic Men's Foreign Half Shoe
4.2 out of 5(83),4.2 out of 5,17%,"₦ 4,980 - ₦ 4,990","₦ 5,800 - ₦ 6,000",Back To School Shoes
4.6 out of 5(7),4.6 out of 5,22%,"₦ 8,999","₦ 11,500",VAULTEX SAFETY GUMBOOT / RAINBOOT WITH STEEL TOECAP & STEEL MIDSOLE
3.8 out of 5(8),3.8 out of 5,35%,"₦ 6,500","₦ 9,999",Ladies /Women Unique Pam Flat Slippers
4.4 out of 5(131),4.4 out of 5,,"₦ 24,000",,20 Pairs Multi-Layers Wooden Shoe Rack- 5 Layers-20 Shoes
4.5 out of 5(2),4.5 out of 5,10%,"₦ 8,100","₦ 9,000",Children Leather Casual Shoes - Wine
4.6 out of 5(10),4.6 out of 5,,"₦ 4,999 - ₦ 5,999",,Back To School(BTS) School Shoe For Girls With Socks
3 out of 5(1),3 out of 5,36%,"₦ 29,000","₦ 45,500",Timberland Classic Foot Fenzy - Unbelievable Discounts On Stylish Shoes
4.1 out of 5(80),4.1 out of 5,39%,"₦ 11,500","₦ 19,000",Patterned  Men's Slippers
4.8 out of 5(10),4.8 out of 5,21%,"₦ 5,499","₦ 6,999",Girls Flat School Shoe - Black
4.1 out of 5(8),4.1 out of 5,21%,"₦ 5,499","₦ 7,000",Girls Flat School Shoe - Black
4.4 out of 5(29),4.4 out of 5,,"₦ 11,000 - ₦ 12,000",,Safety Short Rainboot(steel Toe)
5 out of 5(2),5 out of 5,,"₦ 9,600 - ₦ 14,600",,Bts Back To School Children Shoes Black
3.7 out of 5(12),3.7 out of 5,,"₦ 5,000",,Top Walking Women Flat Shoe Ladies Office Shoe-black
4.9 out of 5(9),4.9 out of 5,,"₦ 8,499",,Rising Star School Casual Shoe Unisex Boy Girl Kids Children Canvas Sneakers - Black
4.3 out of 5(6),4.3 out of 5,40%,"₦ 36,255","₦ 60,510",Men's Italian Plus Size Smooth Leather Shoes Brown
4.7 out of 5(3),4.7 out of 5,31%,"₦ 8,999","₦ 12,999",Casual Simple Men's Brighton Sneaker Canvas - Shoe
4 out of 5(3),4 out of 5,76%,"₦ 3,750","₦ 15,630",Women's Spring And Summer Breathable Mesh Face Soft Sole Non-slip Shoes-(pink)
5 out of 5(1),5 out of 5,38%,"₦ 6,274","₦ 10,053",Defacto Boy Casual Sandals - Navy
3.3 out of 5(10),3.3 out of 5,,"₦ 5,600",,4 Layers Stackable Shoe Rack - 12 Pairs
4.3 out of 5(4),4.3 out of 5,53%,"₦ 8,999","₦ 18,999",Men'S Trendy Men's Simple Casual Fashion Outdoor Sneakers - Classic Canvas - Size
4.8 out of 5(6),4.8 out of 5,60%,"₦ 14,256","₦ 35,639",ADIDAS Adilette Sandals Kids
3.8 out of 5(8),3.8 out of 5,39%,"₦ 5,500","₦ 9,000",Baby Soft Sole Canvas Shoes - White
4.4 out of 5(40),4.4 out of 5,50%,"₦ 5,990","₦ 12,000",Velcro Leather Sandal - Brown
5 out of 5(3),5 out of 5,38%,"₦ 15,800","₦ 25,600",Confirm Mens Football Boots
3.7 out of 5(12),3.7 out of 5,12%,"₦ 22,000","₦ 25,000",Safety Master Safety Boots (steel Toe)black
4.5 out of 5(2),4.5 out of 5,47%,"₦ 16,000","₦ 30,000",Luxury Designer Mens Casual Leather Loafers Italian Men Half Shoes
3 out of 5(4),3 out of 5,,"₦ 10,500",,SPORT Men Soccer Football Boot Blue/white
4.4 out of 5(13),4.4 out of 5,4%,"₦ 12,000","₦ 12,500",Mens Half Shoes Footwear-Black
3 out of 5(1),3 out of 5,48%,"₦ 14,700 - ₦ 14,790","₦ 28,500",Depally PURE CL PLAIN LEATHER  DESIGNERS SHOE BLACK
4.4 out of 5(191),4.4 out of 5,,"₦ 30,500",,32 PAIRS  Wooden Shoe Rack - BLACK
,,38%,"₦ 7,490","₦ 11,999",Storage 6-layer Rack Shoe Rack Assemble Rrack
4 out of 5(5),4 out of 5,52%,"₦ 32,390 - ₦ 34,790","₦ 67,990 - ₦ 73,090",New Business Formal Men's British Leather Shoes
5 out of 5(4),5 out of 5,,"₦ 35,000",,SPORT Men Football Soccer Boot White/Blue
4.1 out of 5(31),4.1 out of 5,32%,"₦ 23,699 - ₦ 24,345","₦ 33,749 - ₦ 35,099",Men's New Fashion Business Casual  Trendy Leather Shoes Breathable Soft - White
5 out of 5(1),5 out of 5,49%,"₦ 17,700","₦ 34,800",DEPALLY CHAIN  IRON TIE DESIGNERS SHOES BLACK
5 out of 5(4),5 out of 5,,"₦ 6,500",,Leather Children's Sport Casual Comfortable Unisex Sneakers Shoe-Black
5 out of 5(1),5 out of 5,51%,"₦ 14,500 - ₦ 14,600","₦ 29,800",Men's PLAIN SHINING LEATHER Designer Shoe Black
4.1 out of 5(11),4.1 out of 5,,"₦ 15,500 - ₦ 16,500",,Sports NBS Strong Football Boot Black
4.5 out of 5(8),4.5 out of 5,,"₦ 13,000",,Sports Men Football Strong Boot Orange
