num_of_people_rated,rating,discount,new_price,old_price,item name
5 out of 5(1),5 out of 5,46%,"₦ 33,733","₦ 62,866",New Soft Sole Children's High-end LED Sneakers Breathable Berniso Sneakers For Boys And Girls-Black
3 out of 5(1),3 out of 5,40%,"₦ 16,900","₦ 28,000",Depally Men Trending Wedding Designers Shoes GD
5 out of 5(1),5 out of 5,65%,"₦ 5,999","₦ 16,990",Ladies Everything Casual Outdoor Fashion Easy Wear Sneakers - Ladies Canvas -  Red
5 out of 5(1),5 out of 5,30%,"₦ 37,809","₦ 41,808 - ₦ 54,350",Mens Tassel Shoes Leather Italian Formal Dress Office Shoes
1 out of 5(1),1 out of 5,42%,"₦ 6,999","₦ 11,999",2022 Cheap Sport Casual Kids Or Girls Back To School Shoe- Black
4.6 out of 5(16),4.6 out of 5,39%,"₦ 12,299 - ₦ 12,499","₦ 20,000",Princess Gold Shoe
5 out of 5(1),5 out of 5,,"₦ 33,500",,Crocs LiteRide Shoes Men And Women Shoe Unisex Slippers
5 out of 5(5),5 out of 5,42%,"₦ 45,372","₦ 77,333 - ₦ 78,667",Flangesio Men's Fashion Formal Shoes Black Heighten 5CM Platform Slip On Shoes Elegant Suit Business Office Leather Shoes For Men High Quality Tassels Designer Party & Wedding Patent Leather Male Dress Shoes
4 out of 5(1),4 out of 5,38%,"₦ 37,300","₦ 59,680",Pointed Toe Mens Dress Shoes Breathable Black Wedding Shoes Formal Suit Office Leather Shoes
5 out of 5(2),5 out of 5,50%,"₦ 34,420 - ₦ 35,871","₦ 68,840 - ₦ 71,742",Men's Breathable Basketball Sneakers Trend Boy's Basketball Shoes Hight Cut Outdoor BasketBall Shoes For Men Shoes
,,7%,"₦ 7,899","₦ 8,500",Men & Women Waterproof Rain & Mud & Dirt Shoe Cover Overshoe
,,50%,"₦ 5,999 - ₦ 6,999","₦ 11,999",Back To School Sneakers - Black
4.5 out of 5(2),4.5 out of 5,50%,"₦ 5,999","₦ 11,999",Ladies Comfortable Casual Sneakers - Women - Black
3 out of 5(1),3 out of 5,10%,"₦ 17,999","₦ 19,999",Sky Blue Children's Ultra-Light Breathable Basketball Shoes Running Sneakers
,,13%,"₦ 6,999","₦ 8,000",Men'S 2023 Men's Casual Simple Sneakers - Back To School White Shoes
5 out of 5(1),5 out of 5,50%,"₦ 29,444 - ₦ 29,861","₦ 58,888 - ₦ 59,722",Mens Loafers Leather Shoes Formal Business Office Shoes Men Breathable Shoes
5 out of 5(1),5 out of 5,45%,"₦ 18,980","₦ 34,800",DEPALLY LINE CHAIN DESIGNERS SHOE BROWN
,,,"₦ 9,499",,Toddler Soft Sole Canvas Anti-Slip Shoes
,,20%,"₦ 42,134","₦ 52,712",(Black)Mens Dress Shoes Plus Size 47 48 Faux Leather Men Wedding Shoes Black Blue Red Brown Slip-on Loafers Designer Pointed Toe Flat JIN
,,50%,"₦ 23,575","₦ 47,149",Trendy Men's Casual Fashion Shoes
,,42%,"₦ 31,930","₦ 55,052",Kids Leather Shoes Girls Wedding Dress Shoes Children Princess Flower Leather Sandals For Girls Casual Dance Shoes Flat Sandals Pink
4 out of 5(1),4 out of 5,80%,"₦ 20,000","₦ 100,000",Half  Drag Snake Grain  Men's Leather Shoes
,,,"₦ 25,000",,Clarks Black Lace-up Loafers Shoe
3.3 out of 5(4),3.3 out of 5,15%,"₦ 55,000 - ₦ 58,000","₦ 65,000",Clarks Italian Leather Black Shoe
3.7 out of 5(3),3.7 out of 5,60%,"₦ 47,100 - ₦ 49,900","₦ 117,750 - ₦ 124,750",Flangesio Italian Handmade Mens Formal Shoes Slip On Calf Leather Oxfords Size 45 46 Top Quality Luxury Brogue Wedding Party Dress Shoes For Men Classic Style Leather Shoes Male Office Loafers Brown
3.2 out of 5(5),3.2 out of 5,6%,"₦ 45,888","₦ 48,936",Big Size Men Glossy Tassel Brogue Leather Shoes-black Gold
4 out of 5(1),4 out of 5,,"₦ 8,800",,Roots Back To School Kids Cortina Shoes-size 38
5 out of 5(1),5 out of 5,,"₦ 11,500",,Unisex Kids Stylish Denim Sneakers
3.9 out of 5(8),3.9 out of 5,1%,"₦ 5,999","₦ 6,000",3 Pairs NEW BORN TODDLER BOOTIES GIFT SET
1 out of 5(1),1 out of 5,17%,"₦ 29,064","₦ 35,016",Children Leather Casual Shoes
4.7 out of 5(3),4.7 out of 5,38%,"₦ 40,000","₦ 64,000",2021 Men's Formal Shoes Tassel Leather Shoes Business Shoes-Brown
,,40%,"₦ 41,964","₦ 69,940",ADIDAS Originals Sneakers Kids Samba Og J
4 out of 5(2),4 out of 5,50%,"₦ 12,550","₦ 25,000",Mens Leather Half Shoe - Black
,,54%,"₦ 3,100","₦ 6,700",Ball Of Foot Cushion Pad
,,20%,"₦ 15,960","₦ 20,000",Crocs Unisex Beach/Summer Rubber Sneakers - Nude
,,,"₦ 13,000",,Unisex Patent Leather High Boot
,,42%,"₦ 14,500","₦ 25,000",Quality Men's Black Rugged Sandal
5 out of 5(1),5 out of 5,20%,"₦ 4,000","₦ 5,000",Character Slides- Blue
,,12%,"₦ 7,500","₦ 8,500",Kids Blue Touch Fasten Sneakers/Trainers
4 out of 5(1),4 out of 5,52%,"₦ 35,955","₦ 75,570",Summer Business British Casual Men's Shoes
4 out of 5(3),4 out of 5,10%,"₦ 9,000","₦ 10,000",New Fashion Children's Luminous Sneaker - White
4.2 out of 5(5),4.2 out of 5,,"₦ 12,000",,Standard Men's Foreign Half Shoe
4 out of 5(5),4 out of 5,38%,"₦ 38,200 - ₦ 40,200","₦ 61,120 - ₦ 64,320",Big Size Men Glossy Tassel Brogue Leather Shoes-red
5 out of 5(1),5 out of 5,,"₦ 19,000",,SPORT Men Ankle Football Boot Orange
,,30%,"₦ 49,170","₦ 70,650",Big Size Men Glossy Tassel Brogue Leather Shoes-black
,,42%,"₦ 16,580","₦ 28,700",Vangelo NEW VERVE DESIGNER SHOE Black
,,52%,"₦ 36,626 - ₦ 39,330","₦ 76,050",2022 Men High Top Football Shoes Male Soccer Boots Sneakers
5 out of 5(2),5 out of 5,,"₦ 68,000",,Clarks Executive Pure Leather Clarks Chain Shoe
3.7 out of 5(3),3.7 out of 5,30%,"₦ 36,598","₦ 52,598",Men's All-match Leather Shoes
,,,"₦ 9,999",,Waterproof Shoes Boot Cover Oilproof Dustproof Rain Boot
5 out of 5(3),5 out of 5,46%,"₦ 28,380","₦ 52,760",New Soft Sole Children's High-end LED Sneakers Breathable Odinkat Sneakers Boys And Girls-White
5 out of 5(2),5 out of 5,19%,"₦ 35,550","₦ 43,950",Luxury Suede Men's Boots - Black
,,59%,"₦ 13,980","₦ 33,700",COOL FLOWER SUEDE DESIGNERS SHOES BLACK
4 out of 5(1),4 out of 5,8%,"₦ 55,000","₦ 60,000",Clarks Exotic Men's Corporate Shoe - Brown
,,99%,"₦ 58,000","₦ 60,000 - ₦ 6,000,000",Clarks Black Buckled Shoe
5 out of 5(1),5 out of 5,50%,"₦ 24,999 - ₦ 26,999","₦ 50,000",Men'S 2023 Men's Cheap Simple Business Cooperate Office Shoe - Brown + Shoe Box
5 out of 5(3),5 out of 5,50%,"₦ 5,999 - ₦ 6,999","₦ 12,000",SNEAKERS LADIES - LADIES FLAT SHOE - GIRLS SCHOOL SHOES
5 out of 5(1),5 out of 5,29%,"₦ 16,290","₦ 22,990",Men's Dress Shoes Oxford Classic Business Formal Soft Modern Work Shoes
4 out of 5(1),4 out of 5,,"₦ 14,700",,SPORT Butfolo Men Football Boots Red
,,14%,"₦ 5,999","₦ 6,999",Ladies Everything Ladies Simple Cheap Sport Outdoor Sneakers - Classic Casual Outdoor Footwear
4.5 out of 5(2),4.5 out of 5,,"₦ 14,500",,Kids Girls Lovely Black Sandals
,,50%,"₦ 16,900","₦ 33,700",Men's Black All-match Leather Shoes
,,50%,"₦ 28,211 - ₦ 35,294","₦ 56,422 - ₦ 70,588",Men's Italian Plus Size Smooth Leather Shoes Brown
2 out of 5(2),2 out of 5,42%,"₦ 6,999","₦ 11,999",Casual Plain Leisure Easy Wear Sport Running Sneakers
4.2 out of 5(5),4.2 out of 5,20%,"₦ 40,980","₦ 51,000 - ₦ 51,500",Big Size 38-47 Fashion Carved Men Oxford Shoes British Style Luxury Business Office Shoes Men Black
,,17%,"₦ 50,000","₦ 60,000",Clarks Classy Men's Corporate Shoe - Brown
4.8 out of 5(4),4.8 out of 5,,"₦ 18,500",,Quality Boys And Girls Shoe Breathable Sneakers-yellow
,,,"₦ 65,150",,"Safety Jogger Jackman Safety Shoe, Safety Boot With Elasticated Sides"
,,,"₦ 12,799",,Baby Soft Sole Booties Shoe
4 out of 5(1),4 out of 5,,"₦ 75,000",,Oggi Brown  Upper Class
,,36%,"₦ 31,858 - ₦ 38,988","₦ 49,500",Flangesio Mens Mountain Trekking Shoes Big Size 38-46 High Quality Suede Leather Men Hiking Shoes Outdoor Man Sneakers Male Rubber Wear-resistant Work Shoes Grey
4 out of 5(1),4 out of 5,,"₦ 15,000 - ₦ 15,500",,SPORT Men Soccer Football Boot Blue
,,29%,"₦ 8,500","₦ 12,000",Dunnes Baby Girls Top Fur Boot
5 out of 5(1),5 out of 5,,"₦ 22,500",,Clarks Blue Lace-up Classy Loafers Shoe
,,41%,"₦ 37,790","₦ 61,510 - ₦ 64,018",Men's Italian Plus Size Smooth Leather Shoes Black
,,91%,"₦ 55,000","₦ 60,000 - ₦ 600,000",Clarks Exotic Men's Buckle Corporate Shoe - Brown
5 out of 5(1),5 out of 5,10%,"₦ 5,594","₦ 6,215",Defacto Girl Casual Sandals - White
,,,"₦ 7,500",,Newborn Baby Girls Party T-Bar Bowknot Shoes - Pink
,,55%,"₦ 44,700","₦ 99,400",Men's Fashion Formal Shoes Black Heighten 5CM Platform Slip On Shoes Elegant Suit Business Office Leather Shoes For Men High Quality Tassels Designer Party & Wedding Patent Leather Male Dress Shoes
5 out of 5(1),5 out of 5,13%,"₦ 6,500","₦ 7,500",Balllet Shoe -Black Colour
4 out of 5(1),4 out of 5,5%,"₦ 5,700","₦ 6,000",Back To School Children Shoe With Free Pair Of Socks
,,50%,"₦ 14,900 - ₦ 16,900","₦ 29,800",Depally Men Round Stone Designers Shoe Black/red
4.5 out of 5(4),4.5 out of 5,60%,"₦ 19,144","₦ 47,860",ADIDAS Performance Sport Shoes Kids X 18.4 Tf J
3 out of 5(2),3 out of 5,,"₦ 8,500",,Infants Unisex High Top Soft Bottom Shoe Brown
,,53%,"₦ 15,300","₦ 32,500",Escape Confirm COOL ESCAPE FOOTBALL Boot  BLACK
4.5 out of 5(2),4.5 out of 5,53%,"₦ 8,999","₦ 18,999",Ladies Everything Black Women's Comfortable Outdoor Cheap High Quality Casual Shoe - Multi-color
4 out of 5(3),4 out of 5,10%,"₦ 8,999","₦ 9,999",Children Choice 6 Excellent Quality Baby Girl Foot Socks Funny Happy Socks
,,19%,"₦ 6,950","₦ 8,567",INFANT BABY BOY SANDALS ( 12- 15 Mons)
5 out of 5(1),5 out of 5,29%,"₦ 4,999 - ₦ 5,999","₦ 7,000",Beautiful Children Crocs  (flower On Head May Be Different)
5 out of 5(1),5 out of 5,5%,"₦ 22,500","₦ 23,800",Classic Men Cowhide Leather Embossed Crocodile Pattern Briefcase Casual Messenger Bag Fashion Handbag Shoulder Bag/Men Bag.Black
,,50%,"₦ 5,999","₦ 11,999",Boys School Shoe - Athletic Sneakers Trendy Sports Shoes -Black
,,37%,"₦ 39,006 - ₦ 44,801","₦ 61,536 - ₦ 67,331",Men's Thick-Soled Pointed Leather Shoes Business Shoes Black
4 out of 5(1),4 out of 5,42%,"₦ 16,580","₦ 28,700",Depally NEW CRACK HIGH HEEL DESIGNER SHOE BLACK
5 out of 5(2),5 out of 5,55%,"₦ 13,980","₦ 30,800",Depally MEN  SUEDE FLOWER DESIGNER SHOE BLACK
4.4 out of 5(22),4.4 out of 5,38%,"₦ 39,300 - ₦ 40,200","₦ 62,880 - ₦ 64,320",Mens Formal Shoes Big Size 38-46 Slip On Business Footwear Black
4 out of 5(1),4 out of 5,45%,"₦ 46,000","₦ 83,636",XCST-BNZHO Men Leather Shoes Pointed Business Dress Shoes All-Match Casual Shoes Shock-Absorbing Footwear Wear Resistant Sole Black
3 out of 5(2),3 out of 5,,"₦ 3,500",,1 Pair Female High-Heeled Shoe Foot Pad Thickening Invisible Paste Foot Pad
4 out of 5(2),4 out of 5,52%,"₦ 18,900","₦ 39,000",Depally Men BROGUE TIE Designers Shoe Black
3.7 out of 5(3),3.7 out of 5,15%,"₦ 29,532","₦ 34,890",Mens Formal Shoes Fashion Crocodile Pattern Embossing Lefu Leather Shoes Brown
,,,"₦ 15,000",,Black Suede Ankle Girls Low Heel Princess Shoe
,,38%,"₦ 40,500","₦ 65,500",Lacoste Men's Sophisticated Shoes - Office Corporate Occasions -
,,51%,"₦ 16,550","₦ 33,799",British Leisure Business Dress Shoes Men's Shoes Versatile Shoes
4.7 out of 5(3),4.7 out of 5,15%,"₦ 60,390","₦ 70,990",Safety Boots Steel Toe Work Shoes Suede Leather Upper
4 out of 5(1),4 out of 5,48%,"₦ 15,550","₦ 29,800",New Arrival  Men CHAIN  Shoes BLACK
,,4%,"₦ 59,430","₦ 61,750",Big Size 37-46 High Quality Leather Men Formal Shoes Business Office Shoes Social Mens Carved Dress Shoes Brown
,,55%,"₦ 38,316","₦ 68,640 - ₦ 85,220",Men's Cozy Running Shoes Fashion Sneaker Sport Shoes
,,30%,"₦ 13,600","₦ 19,428",Aluminum Quick Release Plate
3.5 out of 5(10),3.5 out of 5,28%,"₦ 7,199 - ₦ 7,499","₦ 10,000",Kid'S Leather School Shoe -  Black
,,,"₦ 22,190",,Hey Dude Wally Youth - Blue
,,35%,"₦ 6,500","₦ 9,999",Mens Suade Cover Pam Slippers
4.7 out of 5(3),4.7 out of 5,30%,"₦ 14,000","₦ 20,000",Classic Half Shoe
,,,"₦ 10,500",,SPORT Men Sports Blue Trainers
4.3 out of 5(12),4.3 out of 5,39%,"₦ 30,988","₦ 51,156",Men's New Fashion Work Formal  Leather Shoes-Black
5 out of 5(1),5 out of 5,12%,"₦ 7,500","₦ 8,500",Back To School Girls Children School Shoe - Black (With Socks)
4 out of 5(1),4 out of 5,58%,"₦ 15,800","₦ 38,000",New Arrival TRAINING Boots GREY
5 out of 5(1),5 out of 5,,"₦ 9,499",,Toddler Soft Sole Canvas Anti-Slip Shoes
3.1 out of 5(7),3.1 out of 5,42%,"₦ 6,999","₦ 11,999",Ladies Comfortable Casual Sneakers - Women - Black
,,5%,"₦ 41,990","₦ 43,990",Men Soccer Shoes High Ankle Football Boots Men Sneakers
5 out of 5(1),5 out of 5,39%,"₦ 5,860","₦ 9,644",Defacto Boy Casual Slipper-Flipflop - Red
,,,"₦ 8,500",,Super Cute Baby Girl Shoe
5 out of 5(3),5 out of 5,45%,"₦ 8,500 - ₦ 24,500","₦ 15,500 - ₦ 40,500",2-Way Unisex Adjustable Shoe Stretcher Shoe Expander WITH ACCESSERIES
3.5 out of 5(2),3.5 out of 5,50%,"₦ 24,999 - ₦ 25,999","₦ 50,000",Men'S Formal Co0prate Styled Business Black Leather Office Shoe + Shoe Box
5 out of 5(5),5 out of 5,46%,"₦ 6,999","₦ 12,999",Comfortable Ladies Sneakers - Women Casual Black
,,14%,"₦ 38,100","₦ 44,450",Men's Sneakers Basketball Shoes Leather Sneakers Red
4 out of 5(1),4 out of 5,,"₦ 18,500",,Quality Boys And Girls Shoe Breathable Sneakers-white
,,18%,"₦ 7,500","₦ 9,200",Cheeky Baby Girls High Top Ankle Lace Up Boot
3.9 out of 5(7),3.9 out of 5,34%,"₦ 8,500","₦ 12,800",Ladies Casual Breathable Sport Shoes
,,50%,"₦ 39,401","₦ 78,863",4pcs Foldable Shoe Box Storage Plastic Transparent Case Stac
,,23%,"₦ 29,990","₦ 39,000",New Business Formal Men's British Leather Shoes--Black
,,41%,"₦ 30,500 - ₦ 39,800","₦ 52,000",Men Cleats Soccer Shoes Fashion Football Boots Long Short Studs FG TF Sneakers
5 out of 5(2),5 out of 5,68%,"₦ 8,999","₦ 28,000",Easy Wear Men's Brighton Sneaker Canvas - Shoe
,,8%,"₦ 55,000","₦ 60,000",Clarks Exotic Men's Corporate Shoe - Brown
4.8 out of 5(4),4.8 out of 5,46%,"₦ 22,000","₦ 41,067",Business Round Toe Shoes-H-63 Black
4 out of 5(1),4 out of 5,42%,"₦ 6,999","₦ 12,000",Teens Cheap Red Casual - 2023 Running Sneakers - Red
,,38%,"₦ 39,700 - ₦ 42,700","₦ 63,520 - ₦ 68,320",Handmade Italian Men Formal Shoes Full Grain Calf Leather Oxfords Men Office Business Shoes Brown
,,51%,"₦ 14,980","₦ 30,800",Depally MEN STAIGHT CHAIN LEATHER  DESIGNERS SHOE BLACK
4.3 out of 5(10),4.3 out of 5,68%,"₦ 12,500","₦ 38,500",Varrati MEN SUEDE SLIP ON OFFICE WEDDING CASUAL DRESS SHOE [[ORDER A SIZE LESS]]- BLACK
4 out of 5(2),4 out of 5,,"₦ 10,500",,SPORT Men Soccer Football Boot Grey
,,47%,"₦ 15,500","₦ 29,500",New NASUN   CONFIRM Design FOOTBALL BOOT BLACK
,,50%,"₦ 23,900","₦ 47,800",Size 21-30 Baby Anti-Slippery Toddler Sandals Children Led Light Up Sandals
1.8 out of 5(4),1.8 out of 5,52%,"₦ 13,900","₦ 29,000",Brown Classy Corporate Shoe
5 out of 5(2),5 out of 5,39%,"₦ 15,500","₦ 25,500",Quality Boys Leather School Shoes
,,40%,"₦ 26,900","₦ 44,880",Big Size 39-46 Men Suede Leather Formal Business Shoes Black
,,42%,"₦ 3,550","₦ 6,100","Non Marking Sole Guard, Sole Protector, Shoe Grips, Shoe Sole Protector , Sole Sticker,"
,,33%,"₦ 19,600","₦ 29,400",Boys And Children Breathable Fashion Sports Shoes New Casual Shoes-sky Blue
,,31%,"₦ 35,420","₦ 51,020",Men Soccer Shoes AG High Ankle Football Boots Men Sneakers
,,50%,"₦ 60,800","₦ 121,600",Mens Leather Casual Shoes Lattice Round Head Middle Gang Big Size Brown
3 out of 5(1),3 out of 5,,"₦ 11,300",,Stainless Shoe Rack + Bold Steel Pipe For 20 Pairs 5-Layers
,,44%,"₦ 33,582 - ₦ 38,277","₦ 60,089",2022 Hollowed Mens Formal Shoes Slip On Leather Business Dress Dark Brown
5 out of 5(1),5 out of 5,,"₦ 7,000",,Girls Black  School Shoe
5 out of 5(2),5 out of 5,19%,"₦ 8,500","₦ 10,500",Girls Rubber School Shoes
5 out of 5(1),5 out of 5,,"₦ 9,999",,5-layer Non-woven Shoe Rack Living Room Fabric Dustproof DIY
4.2 out of 5(32),4.2 out of 5,18%,"₦ 23,300","₦ 28,500",7Layers Double Column Shoe Rack (space Of 42 Pairs)
,,13%,"₦ 6,999","₦ 8,000",2023 Ladies  Flat Canvas - White Casual Sporting Nysc Shoe
,,40%,"₦ 8,999","₦ 15,000",Simple Casual Walking Comfortable Beach Sneakers - Exotic Color Luxury Shoes
4.4 out of 5(5),4.4 out of 5,31%,"₦ 36,230","₦ 42,000 - ₦ 52,230",Men's Business Leather Shoes
3.5 out of 5(2),3.5 out of 5,,"₦ 4,999",,5 Layers Shoe Rack Closet
4.5 out of 5(6),4.5 out of 5,38%,"₦ 42,000","₦ 67,200",Men's Thick-Soled Pointed Leather Shoes Hair Stylist Work Shoes
,,49%,"₦ 17,950 - ₦ 21,950","₦ 35,000",Depally Classy Men' Brogue Tie Designers Shoe Black
,,42%,"₦ 32,330","₦ 55,741",Summer Baby Boys Girls Sandals Infant Toddler Shoes Children Anti-collision Sandals Outdoor Soft Bottom Kids Casaul Beach Shoes White
,,6%,"₦ 47,772","₦ 50,727",Men Dress Handmade Shoes Leather Male Oxford Italian Classic Lace-up Men's Brogue Shoes Oxfords
,,,"₦ 7,049",,New White Lace Princess Shoes Soft Sole Baby Walking Shoes Full Moon Centenary Matching Dress Newborn Shoes
4 out of 5(2),4 out of 5,10%,"₦ 40,500","₦ 45,100",Big Size 38-48 Men Genuine Leather Boats Tassel Loafers Formal Oxford Moccasins Brogues Shoes Black
,,40%,"₦ 6,300","₦ 10,500",All Black Covered Slip-on Pam Slippers- With Centre
,,34%,"₦ 5,900","₦ 9,000",Quality And Durable Children School Shoes
,,59%,"₦ 32,295 - ₦ 59,551","₦ 79,418",Men's Dress Shoes Wedding Shoes Laces Leather Brogues-Black
,,50%,"₦ 35,306","₦ 70,611",Men's Shoes Trend Lightweight Sneakers
,,13%,"₦ 44,450","₦ 50,800",Football Boots High Quality Low Top Football Boots Black
,,50%,"₦ 22,600","₦ 45,100",1/10 PCS Foldable Storage Shoe Box Shoe Rack Transparent Drawer Metal Frame Transparent Storage Box S
,,23%,"₦ 39,800","₦ 52,000",Men Cleats Soccer Shoes Fashion Football Boots Long Short Studs FG TF Sneakers
,,50%,"₦ 22,160","₦ 44,320",Children's Sports Shoes Boys 1-5 Years Old Baby Toddler Sneakers Beige
,,9%,"₦ 37,452","₦ 41,250",Mens Leather Formal Shoes For Bussiness/ Wedding - Black
5 out of 5(1),5 out of 5,21%,"₦ 5,800","₦ 7,300",2Pc Mini Red Shoe Stretchers For High Heels Adjustable Shoe Expander Men Women Width Extender
,,53%,"₦ 15,300","₦ 32,500",Escape Confirm COOL SIDE ESCAPE FOOTBALL Boot  BLUE
,,6%,"₦ 47,000","₦ 50,000",Quality Mens Shoes Full Grain Leather Business Formal Elegant Oxford For Brown
,,,"₦ 4,000",,Unisex Baby Checked Soft Shoes - Brown
,,,"₦ 6,500",,Unisex Casual Smart Leather Sandal
,,42%,"₦ 22,681","₦ 39,105",Baby Hole Shoes 1-3 Years Old Summer Children Nice Non -slip Soft Floor Boys Girls Beach Cartoon Animation Sandals -H54-Pink-
4.1 out of 5(8),4.1 out of 5,,"₦ 6,999",,Rising Star (with Lace) Casual Or School Shoe Canvas
2 out of 5(1),2 out of 5,34%,"₦ 26,348","₦ 39,900",New Business Dress Men's English Leather Shoes
,,,"₦ 23,899",,Dust Proof Shoe Rack - 5 Tier
3.9 out of 5(7),3.9 out of 5,69%,"₦ 12,500","₦ 40,000",Santiago [NEW ARRIVAL] Mens Dress Leisure Shoes Italian Leather Loafers Shoes Black
,,78%,"₦ 10,999","₦ 50,000",Ladies Everything Beautiful Unisex Running Sneakers – Easy Wears
2 out of 5(1),2 out of 5,48%,"₦ 33,894","₦ 65,000",Big Size 49 Size Mens Formal Shoes Business Oxford Shoes Leather Footwear Black
,,44%,"₦ 29,400","₦ 52,800",Girls High Heels Sequined Children's Leather Shoes
,,48%,"₦ 16,990","₦ 32,500",DEPALLY BROGUE SHINING TIE DESIGNER SHOES BLACK
5 out of 5(1),5 out of 5,,"₦ 10,000",,Boys Black Character Trendy Sandal
,,8%,"₦ 35,999 - ₦ 36,999","₦ 39,000",Original Literide Authentic Classic Croc Sandals
,,12%,"₦ 7,500","₦ 8,500",Patent Retro Loafers Shoes
,,33%,"₦ 25,157 - ₦ 25,437","₦ 37,699",A4 Fashion Soft-soled Non-slip Leather Shoes-XF528 Black
,,21%,"₦ 9,500","₦ 12,000",Stainless Shoe Rack + Steel Pipes 5-Layers Rack
,,61%,"₦ 40,500 - ₦ 50,000","₦ 103,500 - ₦ 125,000",Flangesio EUR Size 38-46 Gentleman Business Formal Shoes Men Brogue Oxford Lace Up Heightening Office Leather Shoes Top Quality Handmade Calf Leather Party Male Social Shoes Comfortable Fashion Derby Shoes Brown
,,29%,"₦ 4,877","₦ 6,828",Waterproof Silicone Shoe Covers For Rain Travel Yellow S
,,50%,"₦ 26,300","₦ 52,500",Men's Breathable Business Leather Shoes
,,,"₦ 100,500",,Genio Top Class
,,38%,"₦ 6,500","₦ 10,500",Primark Girls Stylish Strappy Flat Sandals
4 out of 5(3),4 out of 5,69%,"₦ 12,500","₦ 40,000",[NEW] Mens Office Wedding Business Dress Leisure Italian Leather Shoes Burgundy
,,9%,"₦ 50,000 - ₦ 55,000","₦ 55,000",Clarks Male Corporate Quality Shoe
,,,"₦ 6,500",,Unisex Casual Smart Leather Sandal
5 out of 5(1),5 out of 5,30%,"₦ 28,020","₦ 39,750",New Children's Shoes Breathable Sport Sneakers
4 out of 5(1),4 out of 5,50%,"₦ 30,913","₦ 61,826",Men's Fashion Comfortable Casual Shoes Outdoor Hiking Shoes
,,50%,"₦ 16,600","₦ 33,000",MEN STONE DESIGNERS SHOE BLACK GOLD UP
4.6 out of 5(5),4.6 out of 5,41%,"₦ 16,600","₦ 27,900",Vangelo Men GD CRACK  Designers Shoe Black
5 out of 5(2),5 out of 5,,"₦ 70,000",,Mister Classic Mister Shoe
5 out of 5(1),5 out of 5,14%,"₦ 51,590","₦ 59,990",Safety Shoes Steel Toe Work Boots Breathable Fabric Upper
,,44%,"₦ 53,480","₦ 95,019",Men's Fashion Sequined Dress Shoes
,,43%,"₦ 30,900","₦ 53,800",Kids Girls Breathable Casual Sneakers Sport Running Shoes Teen Flat Outdoor Shoes
,,,"₦ 1,900",,Cheap Rubber For Girls Blue
,,5%,"₦ 16,625","₦ 17,500",Stainless Shoe Rack + Steel Pipes (6 Layers)
4 out of 5(2),4 out of 5,58%,"₦ 4,999","₦ 12,000",Velcro Leather Sandals - Brown
,,,"₦ 11,800",,3 Pairs Unisex Newborn/First Walkers Comfortable Baby's Shoes
4 out of 5(2),4 out of 5,45%,"₦ 46,000","₦ 83,636",XCST-BNZHO Men Leather Dress Shoes Classic Tassel Brogue Mans Footwear Formal Shoes Social Shoes EU Size 38-47
,,50%,"₦ 5,999","₦ 11,999",Boys School Shoes And Wears - Running Sneakers -Black
,,27%,"₦ 7,999","₦ 11,000",Water Proof Rain Boots/shoe Cover
,,34%,"₦ 40,841","₦ 61,778",Men's Fashion Half Toes
4.3 out of 5(30),4.3 out of 5,13%,"₦ 31,000","₦ 35,500",Mobile Steel Wardrobe - 2Column
